target_end_date,quantile,value,type,location,forecast_date,target
2022-09-08,0.025,71.0842,quantile,01,2022-08-28,11 day ahead inc hosp
2022-09-08,0.05,80.52911,quantile,01,2022-08-28,11 day ahead inc hosp
2022-09-08,0.1,90.36452,quantile,01,2022-08-28,11 day ahead inc hosp
2022-09-08,0.15,98.21489,quantile,01,2022-08-28,11 day ahead inc hosp
2022-09-08,0.2,105.29095,quantile,01,2022-08-28,11 day ahead inc hosp
2022-09-08,0.25,113.128624,quantile,01,2022-08-28,11 day ahead inc hosp
2022-09-08,0.3,117.11653,quantile,01,2022-08-28,11 day ahead inc hosp
2022-09-08,0.35,118.334145,quantile,01,2022-08-28,11 day ahead inc hosp
2022-09-08,0.4,122.84264,quantile,01,2022-08-28,11 day ahead inc hosp
2022-09-08,0.45,127.79164,quantile,01,2022-08-28,11 day ahead inc hosp
2022-09-08,0.5,134.96222,quantile,01,2022-08-28,11 day ahead inc hosp
2022-09-08,0.55,138.96864,quantile,01,2022-08-28,11 day ahead inc hosp
2022-09-08,0.6,142.55186,quantile,01,2022-08-28,11 day ahead inc hosp
2022-09-08,0.65,147.70116,quantile,01,2022-08-28,11 day ahead inc hosp
2022-09-08,0.7,153.81096,quantile,01,2022-08-28,11 day ahead inc hosp
2022-09-08,0.75,161.58438,quantile,01,2022-08-28,11 day ahead inc hosp
2022-09-08,0.8,168.50682,quantile,01,2022-08-28,11 day ahead inc hosp
2022-09-08,0.85,179.35394,quantile,01,2022-08-28,11 day ahead inc hosp
2022-09-08,0.9,194.33255,quantile,01,2022-08-28,11 day ahead inc hosp
2022-09-08,0.95,220.22198,quantile,01,2022-08-28,11 day ahead inc hosp
2022-09-08,0.975,246.83417,quantile,01,2022-08-28,11 day ahead inc hosp
2022-09-08,0.99,280.40225,quantile,01,2022-08-28,11 day ahead inc hosp
2022-09-09,0.01,51.37331,quantile,01,2022-08-28,12 day ahead inc hosp
2022-09-09,0.025,66.954544,quantile,01,2022-08-28,12 day ahead inc hosp
2022-09-09,0.05,74.398224,quantile,01,2022-08-28,12 day ahead inc hosp
2022-09-09,0.1,84.06976,quantile,01,2022-08-28,12 day ahead inc hosp
2022-09-09,0.15,91.5679,quantile,01,2022-08-28,12 day ahead inc hosp
2022-09-09,0.2,98.903114,quantile,01,2022-08-28,12 day ahead inc hosp
2022-09-09,0.25,105.776886,quantile,01,2022-08-28,12 day ahead inc hosp
2022-09-09,0.3,110.89792,quantile,01,2022-08-28,12 day ahead inc hosp
