location,forecast_date,value,target_end_date,target,type,quantile
05125,2020-09-21,166,2020-09-26,1 wk ahead inc case,point,NA
05125,2020-09-21,235,2020-10-03,2 wk ahead inc case,point,NA
05127,2020-09-21,1,2020-09-26,1 wk ahead inc case,point,NA
05127,2020-09-21,5,2020-10-03,2 wk ahead inc case,point,NA
05129,2020-09-21,0,2020-09-26,1 wk ahead inc case,point,NA
05129,2020-09-21,4,2020-10-03,2 wk ahead inc case,point,NA
05131,2020-09-21,190,2020-09-26,1 wk ahead inc case,point,NA
05131,2020-09-21,163,2020-10-03,2 wk ahead inc case,point,NA
05133,2020-09-21,13,2020-09-26,1 wk ahead inc case,point,NA
05133,2020-09-21,9,2020-10-03,2 wk ahead inc case,point,NA
05135,2020-09-21,17,2020-09-26,1 wk ahead inc case,point,NA
05135,2020-09-21,26,2020-10-03,2 wk ahead inc case,point,NA
05137,2020-09-21,42,2020-09-26,1 wk ahead inc case,point,NA
05137,2020-09-21,52,2020-10-03,2 wk ahead inc case,point,NA
05139,2020-09-21,15,2020-09-26,1 wk ahead inc case,point,NA
05139,2020-09-21,0,2020-10-03,2 wk ahead inc case,point,NA
05141,2020-09-21,6,2020-09-26,1 wk ahead inc case,point,NA
05141,2020-09-21,2,2020-10-03,2 wk ahead inc case,point,NA
05143,2020-09-21,712,2020-09-26,1 wk ahead inc case,point,NA
05143,2020-09-21,725,2020-10-03,2 wk ahead inc case,point,NA
05145,2020-09-21,110,2020-09-26,1 wk ahead inc case,point,NA
05145,2020-09-21,154,2020-10-03,2 wk ahead inc case,point,NA
05147,2020-09-21,13,2020-09-26,1 wk ahead inc case,point,NA
05147,2020-09-21,20,2020-10-03,2 wk ahead inc case,point,NA
05149,2020-09-21,35,2020-09-26,1 wk ahead inc case,point,NA
05149,2020-09-21,48,2020-10-03,2 wk ahead inc case,point,NA
06001,2020-09-21,1558,2020-09-26,1 wk ahead inc case,point,NA
06001,2020-09-21,2357,2020-10-03,2 wk ahead inc case,point,NA
06003,2020-09-21,0,2020-09-26,1 wk ahead inc case,point,NA
06003,2020-09-21,0,2020-10-03,2 wk ahead inc case,point,NA
06005,2020-09-21,11,2020-09-26,1 wk ahead inc case,point,NA
06005,2020-09-21,13,2020-10-03,2 wk ahead inc case,point,NA
06007,2020-09-21,127,2020-09-26,1 wk ahead inc case,point,NA
06007,2020-09-21,127,2020-10-03,2 wk ahead inc case,point,NA
06009,2020-09-21,31,2020-09-26,1 wk ahead inc case,point,NA
06009,2020-09-21,30,2020-10-03,2 wk ahead inc case,point,NA
06011,2020-09-21,30,2020-09-26,1 wk ahead inc case,point,NA
06011,2020-09-21,41,2020-10-03,2 wk ahead inc case,point,NA
06013,2020-09-21,894,2020-09-26,1 wk ahead inc case,point,NA
06013,2020-09-21,886,2020-10-03,2 wk ahead inc case,point,NA
06015,2020-09-21,16,2020-09-26,1 wk ahead inc case,point,NA
06015,2020-09-21,16,2020-10-03,2 wk ahead inc case,point,NA
06017,2020-09-21,25,2020-09-26,1 wk ahead inc case,point,NA
06017,2020-09-21,105,2020-10-03,2 wk ahead inc case,point,NA
06019,2020-09-21,1430,2020-09-26,1 wk ahead inc case,point,NA
06019,2020-09-21,2127,2020-10-03,2 wk ahead inc case,point,NA
06021,2020-09-21,15,2020-09-26,1 wk ahead inc case,point,NA
06021,2020-09-21,15,2020-10-03,2 wk ahead inc case,point,NA
06023,2020-09-21,52,2020-09-26,1 wk ahead inc case,point,NA
06023,2020-09-21,53,2020-10-03,2 wk ahead inc case,point,NA
06025,2020-09-21,707,2020-09-26,1 wk ahead inc case,point,NA
06025,2020-09-21,920,2020-10-03,2 wk ahead inc case,point,NA
06027,2020-09-21,0,2020-09-26,1 wk ahead inc case,point,NA
06027,2020-09-21,10,2020-10-03,2 wk ahead inc case,point,NA
06029,2020-09-21,1008,2020-09-26,1 wk ahead inc case,point,NA
06029,2020-09-21,1233,2020-10-03,2 wk ahead inc case,point,NA
06031,2020-09-21,206,2020-09-26,1 wk ahead inc case,point,NA
06031,2020-09-21,99,2020-10-03,2 wk ahead inc case,point,NA
06033,2020-09-21,18,2020-09-26,1 wk ahead inc case,point,NA
06033,2020-09-21,34,2020-10-03,2 wk ahead inc case,point,NA
06035,2020-09-21,15,2020-09-26,1 wk ahead inc case,point,NA
06035,2020-09-21,16,2020-10-03,2 wk ahead inc case,point,NA
06037,2020-09-21,9090,2020-09-26,1 wk ahead inc case,point,NA
06037,2020-09-21,10611,2020-10-03,2 wk ahead inc case,point,NA
06039,2020-09-21,88,2020-09-26,1 wk ahead inc case,point,NA
06039,2020-09-21,88,2020-10-03,2 wk ahead inc case,point,NA
06041,2020-09-21,87,2020-09-26,1 wk ahead inc case,point,NA
06041,2020-09-21,0,2020-10-03,2 wk ahead inc case,point,NA
06043,2020-09-21,3,2020-09-26,1 wk ahead inc case,point,NA
06043,2020-09-21,4,2020-10-03,2 wk ahead inc case,point,NA
06045,2020-09-21,82,2020-09-26,1 wk ahead inc case,point,NA
06045,2020-09-21,170,2020-10-03,2 wk ahead inc case,point,NA
06047,2020-09-21,193,2020-09-26,1 wk ahead inc case,point,NA
06047,2020-09-21,134,2020-10-03,2 wk ahead inc case,point,NA
06049,2020-09-21,2,2020-09-26,1 wk ahead inc case,point,NA
06049,2020-09-21,3,2020-10-03,2 wk ahead inc case,point,NA
