value,target,target_end_date,type,quantile,forecast_date,location
26.125269174575806,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,13251
19.57774901390087,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,13251
5734.7677001953125,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,47037
4094.6823120117188,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,47037
50.75294780731201,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,48069
32.95097184181225,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,48069
43.327954053878784,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,48411
26.937868833541813,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,48411
18.26102507114409,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,46021
14.060946702957139,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,46021
61.501075744628906,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,38027
48.103043556213436,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,38027
37.27486038208008,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,38043
26.238041400909424,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,38043
123.53905773162842,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,05047
86.81100273132324,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,05047
256.80613708496094,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,39027
179.72760581970215,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,39027
42.6061496734618,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,29153
32.362085819244385,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,29153
381.51970291137695,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,29101
282.5029907226567,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,29101
2.648100644350052,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,48433
2.194569736719128,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,48433
509.4070014953609,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,02122
336.54472732543945,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,02122
45.03815317153931,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,46105
29.129804849624634,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,46105
91.64961004257202,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,08049
56.267867088317814,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,08049
45.41352891922,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,19159
29.783071517944336,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,19159
114.80179500579823,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,21079
76.9365520477296,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,21079
451.8158531188965,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,26023
304.4728012084961,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,26023
1384.560562133789,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,10005
984.9954299926758,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,10005
624.4357032775879,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,37147
369.23963165283203,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,37147
52.20102071762079,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,38025
38.22130537033087,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,38025
451.4374122619629,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,40037
305.02944564819336,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,40037
391.91798591613747,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,42033
244.3039894104004,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,42033
226.61204719543457,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,42121
148.56631469726562,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,42121
63.8098783493042,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,55051
43.179733753204346,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,55051
59.66069269180298,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,28147
38.62677049636841,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,28147
6.873664200305939,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,02198
4.2320090532303,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,02198
551.0024681091309,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,13185
342.5259246826172,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,13185
44.358530759811345,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,20063
32.033992767333984,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,20063
112.86849212646473,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,21045
72.75502109527588,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,21045
264.9028129577639,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,36083
