"forecast_date","target","target_end_date","quantile","type","location","value"
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.95,"quantile","15",156.904303603086
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.975,"quantile","15",228.805711056922
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.99,"quantile","15",319.279421765634
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.01,"quantile","19",7.44358254886542
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.025,"quantile","19",10.7528397524497
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.05,"quantile","19",12.1119330983018
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.1,"quantile","19",17.2927559813289
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.15,"quantile","19",22.0199345878856
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.2,"quantile","19",25.5528526144351
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.25,"quantile","19",29.886266122716
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.3,"quantile","19",32.7007505340652
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.35,"quantile","19",37.9515884504739
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.4,"quantile","19",43.2827218180539
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.45,"quantile","19",49.8995931407768
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.5,"quantile","19",54.7853083796032
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.55,"quantile","19",62.8078586902268
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.6,"quantile","19",71.1050911986986
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.65,"quantile","19",84.666152853243
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.7,"quantile","19",90.3582358028549
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.75,"quantile","19",102.714786727732
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.8,"quantile","19",117.658606471669
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.85,"quantile","19",144.008209820801
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.9,"quantile","19",187.190125866086
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.95,"quantile","19",239.306011587536
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.975,"quantile","19",284.934511445199
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.99,"quantile","19",377.860035205544
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.01,"quantile","16",2.518778017914
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.025,"quantile","16",3.18178278717444
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.05,"quantile","16",4.10931977953265
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.1,"quantile","16",5.72744188141588
